,precision,recall,f1-score,support,run_name,checkpoint
nakano_azusa,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
nakano_itsuki,0.3333333333333333,0.6666666666666666,0.4444444444444444,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
nakano_miku,0.25,0.5,0.3333333333333333,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
nakano_nino,0.5333333333333333,0.6666666666666666,0.5925925925925926,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
nakano_yotsuba,0.6875,0.9166666666666666,0.7857142857142857,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
nami_(one_piece),0.625,0.8333333333333334,0.7142857142857143,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
nekomata_okayu,0.3125,0.4166666666666667,0.35714285714285715,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
nico_robin,0.5,0.5,0.5,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
ninomae_ina'nis,0.6666666666666666,0.5,0.5714285714285714,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
nishikino_maki,0.5454545454545454,0.5,0.5217391304347826,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
okita_souji_(fate),0.2,0.08333333333333333,0.11764705882352941,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
ookami_mio,0.5384615384615384,0.5833333333333334,0.56,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
oshino_ougi,0.5217391304347826,1.0,0.6857142857142857,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
oshino_shinobu,0.125,0.08333333333333333,0.1,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
ouro_kronii,0.2702702702702703,0.7692307692307693,0.4,13.0,baseline,checkpoints/resnet34_baseline_optuna.pth
paimon_(genshin_impact),0.6923076923076923,0.75,0.72,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
platelet_(hataraku_saibou),1.0,0.25,0.4,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
ram_rezero,0.8,0.6666666666666666,0.7272727272727273,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
raphtalia,0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
rem_rezero,0.75,0.5,0.6,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
rias_gremory,0.6,1.0,0.75,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
